segment_row_idx,topic_id_matrix,topic_id_assumed,p_topic,topic_id,show,year,decade,topic_final,topic_name_final,model_text,topic_name,topic_rank
1,35,35,1.0,35,Tato Cifuentes,1973,1970,35,Guitarra,"Ahora, como ustedes me han visto salir con la guitarra, posiblemente han pensado: «este ñato va a tocar la guitarra». Ojalá supiera. Pasa que esta guitarra es mía y como es mía yo la llevo donde quiero, pero no sé tocar la guitarra. La compré porque está de moda. Y cuando una cosa se pone de moda todo el mundo lo compra. No se vendían guitarras, entonces pusieron avisos por todos lados: «Última moda tener guitarra». Suficiente, al poner última moda tener guitarra, ahí partieron todos los imbéciles a comprarse guitarra. Yo me compré ocho.",Guitarra,1
2,35,35,1.0,35,Tato Cifuentes,1973,1970,35,Guitarra,"Y con la guitarra viajando, viajando, viajando se me ocurrió hacer una cosa distinta, o sea, un dúo de uno. Porque todos los dúos son de a dos. Siempre. Entonces no va por ahí, el dúo fulano y fulano. ¿Y por qué tiene que ser de dos? ¿No puede ser un dúo de a uno? Claro que sí. Ustedes pensarán que yo estoy loco, ¿no? Yo no estoy loco, soy loco. Este es uno de los instrumentos. Este es el otro. Este no lo van a ver ustedes en televisión, posiblemente sí. Es el instrumento más chico que se ha inventado. Es una armónica alemana de apenas cuatro ollitos. Y suena bastante, se pueden tocar muchas canciones. Parece fácil, ¿no? No es tan fácil. Yo para aprenderme esta tonada que les voy a tocar, me he tragado 140 de estas. Y no sería nada tragársela; el problema es que no se consiguen. Son alemanas, ya no fabrican más. Pero en fin, trataré de tocarla ya que es la última que me queda. Además, es molesto hacer la digestión con música.",Guitarra,1
3,5,5,0.1007704448999896,5,Tato Cifuentes,1973,1970,5,Matrimonio,"Resulta que un día estaba actuando en el teatro haciendo esto mismo porque, generalmente, uno casi siempre hace lo mismo, ¿no? Porque el público tenía que cambiar. Y una señora me miraba; estaba en el medio de la platea, era un matrimonio. Yo me di cuenta que era matrimonio porque estaban muy amargados los dos. Serio, serio como perro en bote. Y la señora observó tanto y dijo: «No es este ñato que está tocando». Hay, este es truco. Claro, hay tantos trucos, ¿no? Hay otro que está tocando por otro lado o esto está grabado. Y, y, y yo me di cuenta; me, me ofendió. Me ofendió porque me costó aprender y la señora decía, le decía al marido, ¿no?: «No es este». Y yo como loco. Me dio rabia. Desde entonces aclaro: señores y señores, acá están todos los testigos, colegas, músicos y colegas... ya sé que si eran tocar como yo. Yo soy el que toco las dos cosas. Yo soy el dúo solo y dentro de poco voy a hacer un trío yo solo. No sé dónde me voy a meter la otra armónica, pero lo haré.",Matrimonio,1
3,18,18,0.0815657482703656,18,Tato Cifuentes,1973,1970,5,Matrimonio,"Resulta que un día estaba actuando en el teatro haciendo esto mismo porque, generalmente, uno casi siempre hace lo mismo, ¿no? Porque el público tenía que cambiar. Y una señora me miraba; estaba en el medio de la platea, era un matrimonio. Yo me di cuenta que era matrimonio porque estaban muy amargados los dos. Serio, serio como perro en bote. Y la señora observó tanto y dijo: «No es este ñato que está tocando». Hay, este es truco. Claro, hay tantos trucos, ¿no? Hay otro que está tocando por otro lado o esto está grabado. Y, y, y yo me di cuenta; me, me ofendió. Me ofendió porque me costó aprender y la señora decía, le decía al marido, ¿no?: «No es este». Y yo como loco. Me dio rabia. Desde entonces aclaro: señores y señores, acá están todos los testigos, colegas, músicos y colegas... ya sé que si eran tocar como yo. Yo soy el que toco las dos cosas. Yo soy el dúo solo y dentro de poco voy a hacer un trío yo solo. No sé dónde me voy a meter la otra armónica, pero lo haré.",Intimidad,2
5,20,20,1.0,20,Los Acetatos,1973,1970,20,Boleros,"Y cumpliendo numerosas peticiones, ahora le voy a cantar un bolero, «Dos almas». Dame todo, Nubo. Ajá. Dos almas que unidas yo... Dos almas que se amaban. Eso era. Por la sangre de este inmenso amor nos lavamos la vida. Como amamos de, de, de, de, de. Un día en el camino, que gustaban nuestras almas... Surgió una onda de odio que nos deja rodadón. Y decía que mejor fuera morir ni se cañare podemos ya vivir. ¿Qué? ¿Qué fue? ¿Qué pasó? ¿Qué? ¿Qué fue? ¿Qué pasó? Ah, ¿me toca a mí? Ya va, pues. Y un día en el camino que cruzaba nuestra alma, tuyo una canción yo, yo que no sé. Y decía que podemos ya, podemos ya.",Boleros,1
6,20,20,1.0,20,Los Acetatos,1973,1970,20,Boleros,En el ranking internacional de Los Acetatos canta Sandro. Así como una rosa resechea por el viento. Así como una hoja reseca por el sol. Así como se enroja de costado un el viejo. Así mi alma tu imagen arrojó. Así como se marcha la noche con el día. Así como se aleja un velero hacia el tamarindo. Así... y como se escapa el agua entre los dedos. Así te dejé ir sin meditar.,Boleros,1
11,13,13,1.0,13,Los Acetatos,1973,1970,13,Desvaríos,"A tomar. A tomar, tomar, tomar, tomar, tomar. Se me puso el pantalón. Va. No corras. Va, va. Tres por cuatro. Dos y me llevo una, va. Ahora voy a llegar a la... porque hace, hace falta facultades de Ciencia, de Medicina, de garganta hipogresiva, como voy a hacer yo ahora, verás tú. Por gusto, escucha, me voy a salir del arreglo, no vale para esto, ya verás. Garganta arriba, garganta arriba. ¿Pecho ya? Es que estoy agachado o qué, ¿verdad? ¿Qué te crees, que estoy en la mini? ¿Pecho fuera? Es pobrecita. Por, por, por... Mi, mi, mi, mi, va. La, la, la, la, la, sostenido, sostenido. Ya me sostengo ya. Pa, pa, pa, pa, pa, la, la, la, la, la.",Desvaríos,1
12,1,1,0.1905579593188472,1,Tato Cifuentes,1974,1970,1,Familia,"El niñito de 5 años y el papá mayor que el hijo van de camino, caminando, de paseo, mirando viñedos, etcétera y de repente pasa lo inesperado. Por la vereda del frente una señora casada bien casada por las apariencias. Y el mocoso nunca había visto una señora así tan casada y le llama poderosamente la atención. ¿A quién le va a preguntar si no es a su papito? Y ahí empieza el problema del padre y no le dice lo que corresponde. Papacito. Papacito. ¿Qué le pasa, el gordito? Papacito. Mire, la señora que va con mirando por ahí. ¿Qué tiene? Sí tiene. Digo, ¿qué tiene de particular? Una señora que va caminando. Sí, va caminando, pero pero pero Pero por ¿Por qué va caminando así tan hecha para atrás? Algún defecto que tiene la señora en los zapatos. No, no es los zapatos. El más arriba. Mira, yo te he dicho muchas veces que los niños no hacen ciertas preguntas. No, papito, no. Usted siempre me ha dicho que los niñitos cuando no saben tienen que preguntar. Y yo quiero saber por qué la señora queda caminando con Bueno, déjeme, la señora tranquila porque me voy a enojar. Pero por qué por mí no sé. Cállese la boca. Ni una palabra más. Pero por qué no basta hombre, los hombres no lloran. Esa señora es así porque es de otro barrio. Y nosotros Estamos caminando por esta vereda y no tenemos por qué preocuparnos de otra gente. Vamos a ir mirando, mire, mire la vidriera que hay ahí, eso es una juguetería, eso es para niño, mire qué bonito. Qué linda la juguetería. Mire la mía. Ay, qué lindo. Mire el tren con motocolora y todo. Loco motora. Motocolora. Qué lindo el trencito. A mí me gustan los trenes. Mire, el conejo. El trencito me gusta, mira. Esos trenes duran mucho. Ahí se ve lindo, pero más lindo se vería en mi pieza. Yo cuando sea grande y tenga hijos, le voy a regalar trenes a mis hijos. A mí me gustan los trenes. Yo voy a ser trenero cuando grande. Caminando al trencito. Duran mucho los trenes, son baratos. A mí me gustan todos los juguetes. Aunque sean chiquititos me gustan. Todos los juguetes son lindos. Pero, ¿por qué está tan gorda la señora? Esa señora está enferma, —Pobrecito, está enfermita y anda por la calle. ¿Y de qué está enferma? —De una enfermedad enfermosa. —Sí, pero, ¿cómo se llama la enfermedad? —Mira, es una enfermedad que... (Bueno, ahí piensa el padre que lo va a dejar callado). Mira, es una enfermedad que tienen las señoras, que tienen que tener las señoras, que se llama hidropesía. —¿Hidropesía? —Hidropesía. —Ah, hidroterapia. ¡Ay, hidroterapia! ¿Y qué quiere decir hidroterapia? —Hidroterapia, mi amor. Mira, ahí te lo quiere decir agua y te decía 'exceso'. O sea, lo que tiene la señora es exceso de agua. —Ah, exceso de agua. Papito, pero el niñito sabe nadar.",Familia,1
13,0,0,1.0,0,Hugo Goodman,1974,1970,0,Chilenidad,"Veo, después de estar 17 años afuera, veo caras con... ¡Permítame una foto! El mejor fotógrafo de Chile; el otro día fotografié un muerto y le salió movido. Bueno, este para tantear el público, probando. Perfecto.",Chilenidad,1
14,12,12,0.1345696748385214,12,Hugo Goodman,1974,1970,12,Reggaeton,"La culpa no es mía; ahí está culpable el pianista. El señor pianista es un eminente, es un eximio; antes era un simio, lo vestimos y lo pusimos a tocar el piano.",Reggaeton,1
14,29,29,0.0832157460881887,29,Hugo Goodman,1974,1970,12,Reggaeton,"La culpa no es mía; ahí está culpable el pianista. El señor pianista es un eminente, es un eximio; antes era un simio, lo vestimos y lo pusimos a tocar el piano.",Personajes,2
16,18,18,0.1651459994041073,18,Hugo Goodman,1974,1970,18,Intimidad,"Pero un día llego a mi departamento, encuentro a mi señora despeinada, un resto de cigarrillos... mi señora no fuma. Sospechando lo peor, me asomo debajo de la cama. Efectivamente, vi un tipo escondido debajo de la cama y le digo a mi señora: «¿Y ese tipo qué hace ahí debajo de la cama?». «No sé, hace un rato estaba aquí arriba».",Intimidad,1
19,1,1,0.3125740563980249,1,Hugo Goodman,1974,1970,1,Familia,"Mire, ese señor sin pelo que está ahí. Ese señor fue niño, miren qué monstruos ahora. No, no, no, a los niños hay que cuidarlos, sobre todo cuando tienen 13 o 14 años, esa la edad peligrosa.",Familia,1
20,1,1,1.0,1,Hugo Goodman,1974,1970,1,Familia,"El otro día fue un niñito y le dice su papá: «Papá, tengo que hablar contigo porque sé que eres un hombre moderno, me vas a comprender». «¿Qué pasa, hijo mío?». «Papá, acabo de tener mi primera experiencia sexual». «Hombre, qué alegría, mi único hijo, hombre. Cuéntame eso, siéntate y cuéntamelo». «No me puedo sentar, papá». Ah. Con razón después crecen y le dicen Volkswagen. Tiene el motor atrás.",Familia,1
21,18,18,0.086303052757494,18,Hugo Goodman,1974,1970,5,Matrimonio,"Bueno, este les quería decir, les quería decir, hoy estaba leyendo el periódico, estaba leyendo que Elizabeth Taylor nuevamente se divorcia. ¡Qué chinguelhuechona, ¿no?! Se ha casado tantas veces que el vestido de novia que usa: «Watch and Wear».",Intimidad,1
24,16,16,0.1397962001617476,16,Hugo Goodman,1974,1970,16,Religión,"Es que yo le voy a decir una cosa. Los judíos, los judíos somos la gente más simpática. Yo tengo ascendencia judía. Sí, no lo ni allá en Israel, pero el otro día me pasó una cosa muy simpática. En un restaurant entraron a cenar dos señores: un italiano y un judío. Imagínense, un italiano con un judío. Pidieron lo mejor, cenaron opíperamente y llegó el momento de pagar la cuenta; los dos, ninguno pedía la cuenta, pasaban las horas, los mozos dando vueltas alrededor de la mesa. Al fin se siente una voz que dice: «Mozo, per favore, la adiciones». Inmediatamente le llevaron la cuenta al italiano. Al otro día leímos en el periódico: «Italiano indignado asesina judío ventrílocuo».",Religión,1
26,13,13,0.0905147284257854,13,Hugo Goodman,1974,1970,20,Boleros,"Bueno, entonces, como les iba diciendo, yo esta noche quiero, quiero mostrarles a ustedes... Señor, por favor, un poquito más abajo pantalón, señor. Se le ve un trozo la pierna, yo no soy de fierro, soy humano. Puedo caer en tentaciones.",Desvaríos,1
27,24,24,1.0,24,Hugo Goodman,1974,1970,24,Pantalla,"Bueno, entonces como les sigo diciendo, ay, me cansé. Esta noche yo quiero mostrarles cómo se filmaba en Hollywood. Hace 20 años atrás una película de cowboys. Filmando película de vaqueros, la confesión del cowboy mudo. Toma 58, se toma, corre. 1 2 3 4 5 6 7 8 9 11 12 18 19 20 21 22 23 24 25 26 27 28 29 30 32 37 39 40. Bueno, así se filmaba hace 20 años atrás en Hollywood. Los tiempos cambian, ahora quiero mostrarles cómo se firma actualmente la misma escena que ustedes acaban de ver, pero con los actores que hay ahora en Hollywood. Toma 58, ataquen. 1 2 3 4 5 6 7 8 9 11 12 18 1 2 3 4 5 6 7 8 9 10.",Pantalla,1
28,27,27,0.1050072423054623,27,Hugo Goodman,1974,1970,18,Intimidad,"Vamos ahora a proseguir. Fíjese que les voy a decir una cosa, chiquillos. Hace más o menos 17 años que falto y me he encontrado con gente tan simpática. Allá tenemos al «cara de axila»: la barba se afeita con desodorante.",Edad,1
