segment_row_idx,topic_id_matrix,topic_id_assumed,p_topic,topic_id,show,year,decade,topic_final,topic_name_final,model_text,topic_name,topic_rank
3,15,15,0.129472143135347,15,Tato Cifuentes,1973,1970,15,15_fome_show_oh oh_dichato,"Resulta que un día estaba actuando en el teatro haciendo esto mismo porque, generalmente, uno casi siempre hace lo mismo, ¿no? Porque el público tenía que cambiar. Y una señora me miraba; estaba en el medio de la platea, era un matrimonio. Yo me di cuenta que era matrimonio porque estaban muy amargados los dos. Serio, serio como perro en bote. Y la señora observó tanto y dijo: «No es este ñato que está tocando». Hay, este es truco. Claro, hay tantos trucos, ¿no? Hay otro que está tocando por otro lado o esto está grabado. Y, y, y yo me di cuenta; me, me ofendió. Me ofendió porque me costó aprender y la señora decía, le decía al marido, ¿no?: «No es este». Y yo como loco. Me dio rabia. Desde entonces aclaro: señores y señores, acá están todos los testigos, colegas, músicos y colegas... ya sé que si eran tocar como yo. Yo soy el que toco las dos cosas. Yo soy el dúo solo y dentro de poco voy a hacer un trío yo solo. No sé dónde me voy a meter la otra armónica, pero lo haré.",15_fome_show_oh oh_dichato,1
5,1,1,0.1730492180061665,1,Los Acetatos,1973,1970,1,1_canción_pegado_música_luis,"Y cumpliendo numerosas peticiones, ahora le voy a cantar un bolero, «Dos almas». Dame todo, Nubo. Ajá. Dos almas que unidas yo... Dos almas que se amaban. Eso era. Por la sangre de este inmenso amor nos lavamos la vida. Como amamos de, de, de, de, de. Un día en el camino, que gustaban nuestras almas... Surgió una onda de odio que nos deja rodadón. Y decía que mejor fuera morir ni se cañare podemos ya vivir. ¿Qué? ¿Qué fue? ¿Qué pasó? ¿Qué? ¿Qué fue? ¿Qué pasó? Ah, ¿me toca a mí? Ya va, pues. Y un día en el camino que cruzaba nuestra alma, tuyo una canción yo, yo que no sé. Y decía que podemos ya, podemos ya.",1_canción_pegado_música_luis,1
6,16,16,0.1073887683123148,16,Los Acetatos,1973,1970,16,16_cielo_pi_san pedro_pérez,En el ranking internacional de Los Acetatos canta Sandro. Así como una rosa resechea por el viento. Así como una hoja reseca por el sol. Así como se enroja de costado un el viejo. Así mi alma tu imagen arrojó. Así como se marcha la noche con el día. Así como se aleja un velero hacia el tamarindo. Así... y como se escapa el agua entre los dedos. Así te dejé ir sin meditar.,16_cielo_pi_san pedro_pérez,1
10,10,10,0.1069014220250948,10,Los Acetatos,1973,1970,10,10_salta salta_salta_bailar_baile,"Os quiero bailar en mañana, mañana. Musky de la de la mujer, musky de la de la mujer, de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de la de O ti dar ba que me lo voy a ver y me hago de O ti dar ba que me lo voy a ver y me hago de O ti dar ba y me voy a ver, O ti dar ba y me voy a ver, O ti dar ba y me voy a ver, O ti dar ba, O ti dar ba. 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 17, 18, 19, 20.",10_salta salta_salta_bailar_baile,1
12,23,23,0.5278384091971088,23,Tato Cifuentes,1974,1970,23,23_tac_tac tac_hijos_papá,"El niñito de 5 años y el papá mayor que el hijo van de camino, caminando, de paseo, mirando viñedos, etcétera y de repente pasa lo inesperado. Por la vereda del frente una señora casada bien casada por las apariencias. Y el mocoso nunca había visto una señora así tan casada y le llama poderosamente la atención. ¿A quién le va a preguntar si no es a su papito? Y ahí empieza el problema del padre y no le dice lo que corresponde. Papacito. Papacito. ¿Qué le pasa, el gordito? Papacito. Mire, la señora que va con mirando por ahí. ¿Qué tiene? Sí tiene. Digo, ¿qué tiene de particular? Una señora que va caminando. Sí, va caminando, pero pero pero Pero por ¿Por qué va caminando así tan hecha para atrás? Algún defecto que tiene la señora en los zapatos. No, no es los zapatos. El más arriba. Mira, yo te he dicho muchas veces que los niños no hacen ciertas preguntas. No, papito, no. Usted siempre me ha dicho que los niñitos cuando no saben tienen que preguntar. Y yo quiero saber por qué la señora queda caminando con Bueno, déjeme, la señora tranquila porque me voy a enojar. Pero por qué por mí no sé. Cállese la boca. Ni una palabra más. Pero por qué no basta hombre, los hombres no lloran. Esa señora es así porque es de otro barrio. Y nosotros Estamos caminando por esta vereda y no tenemos por qué preocuparnos de otra gente. Vamos a ir mirando, mire, mire la vidriera que hay ahí, eso es una juguetería, eso es para niño, mire qué bonito. Qué linda la juguetería. Mire la mía. Ay, qué lindo. Mire el tren con motocolora y todo. Loco motora. Motocolora. Qué lindo el trencito. A mí me gustan los trenes. Mire, el conejo. El trencito me gusta, mira. Esos trenes duran mucho. Ahí se ve lindo, pero más lindo se vería en mi pieza. Yo cuando sea grande y tenga hijos, le voy a regalar trenes a mis hijos. A mí me gustan los trenes. Yo voy a ser trenero cuando grande. Caminando al trencito. Duran mucho los trenes, son baratos. A mí me gustan todos los juguetes. Aunque sean chiquititos me gustan. Todos los juguetes son lindos. Pero, ¿por qué está tan gorda la señora? Esa señora está enferma, —Pobrecito, está enfermita y anda por la calle. ¿Y de qué está enferma? —De una enfermedad enfermosa. —Sí, pero, ¿cómo se llama la enfermedad? —Mira, es una enfermedad que... (Bueno, ahí piensa el padre que lo va a dejar callado). Mira, es una enfermedad que tienen las señoras, que tienen que tener las señoras, que se llama hidropesía. —¿Hidropesía? —Hidropesía. —Ah, hidroterapia. ¡Ay, hidroterapia! ¿Y qué quiere decir hidroterapia? —Hidroterapia, mi amor. Mira, ahí te lo quiere decir agua y te decía 'exceso'. O sea, lo que tiene la señora es exceso de agua. —Ah, exceso de agua. Papito, pero el niñito sabe nadar.",23_tac_tac tac_hijos_papá,1
14,15,15,0.0811738678014177,15,Hugo Goodman,1974,1970,12,12_marihuana_jimmy_droga_vino,"La culpa no es mía; ahí está culpable el pianista. El señor pianista es un eminente, es un eximio; antes era un simio, lo vestimos y lo pusimos a tocar el piano.",15_fome_show_oh oh_dichato,1
15,29,29,0.1068898312864306,29,Hugo Goodman,1974,1970,27,27_espejo_hermana_bonita_ropa,"Él me dice, me dice: «Goodman, vete corriendo al hotel porque tu señora te está engañando con otro». Te equivocaste: no era otro, era el mismo de siempre. Ahora me dice Cornelio Goodman, el corno mímico sudamericano, usa sombrero de vikingo.",29_amiga_mira mira_amigas_tenés hacer,1
17,15,15,1.0,15,Hugo Goodman,1974,1970,15,15_fome_show_oh oh_dichato,"Tenía razón Nikita Khrushchev. No, no, no, no, no, yo no quiero aplausos, yo quiero dinero. Tenía razón Nikita Khrushchev cuando dijo: «Las mujeres, mientras más malos pasos dan, mejores zapatos llevan».",15_fome_show_oh oh_dichato,1
21,8,8,0.1109179354836855,8,Hugo Goodman,1974,1970,1,1_canción_pegado_música_luis,"Bueno, este les quería decir, les quería decir, hoy estaba leyendo el periódico, estaba leyendo que Elizabeth Taylor nuevamente se divorcia. ¡Qué chinguelhuechona, ¿no?! Se ha casado tantas veces que el vestido de novia que usa: «Watch and Wear».",8_amante_mujer_marido_matrimonio,1
21,29,29,0.0865494787040557,29,Hugo Goodman,1974,1970,1,1_canción_pegado_música_luis,"Bueno, este les quería decir, les quería decir, hoy estaba leyendo el periódico, estaba leyendo que Elizabeth Taylor nuevamente se divorcia. ¡Qué chinguelhuechona, ¿no?! Se ha casado tantas veces que el vestido de novia que usa: «Watch and Wear».",29_amiga_mira mira_amigas_tenés hacer,2
