topic_final,old_topic_name,proposed_title,proposed_description,theme,n_segments,year_min,year_max,top_keywords,top_shows,example_text_1,example_text_2,example_text_3
0,0_presidente_país_huevón_pesos,"Política y actualidad: presidente, país, pesos","Cluster con 358 segmentos (1973-2025) centrado en presidente, país, pesos, política, chile. Predomina en rutinas de Pedro Ruminot, Edo Caroe.",Política y actualidad,358,1973,2025,"presidente, país, pesos, política, chile, plata, huevones, ley, piñera","Pedro Ruminot, Edo Caroe, Bombo Fica",Hoy a mí me gusta mucho leer y el otro día estaba leyendo en TikTok que Chile es un país que está envejeciendo. Chile es un país que demográficamente tiene una población bien avanzada en edad. Y se nota un poco que Chile...,"algunos que se pusieron así. Ya se puso a hablar hueá este comunista de mierda, hueá. Los veo, si yo lo estoy mirando. Puta, yo quería ver al Checho Iturbi y al Checho Freire, puta, que la cagamos. Mira, independiente el...","con Don Consa ahora democracia. Tenemos un presidente tan joven que debe tener WhatsApp de primo. Igual que nosotros, po, si todos si es joven, es ser humano, debe tener WhatsApp de primo, donde los primos le escriben, ""..."
1,1_canción_almas_cantar_vivo vivo,"Parodias musicales: canción, almas, cantar","Cluster con 285 segmentos (1973-2025) centrado en canción, almas, cantar, vivo vivo, música. Predomina en rutinas de Hugo Varela, Daniel Muñoz ""El Carmelo"".",Parodias musicales,285,1973,2025,"canción, almas, cantar, vivo vivo, música, vivo, rima, luna, gusta","Hugo Varela, Daniel Muñoz ""El Carmelo"", Carlos García","...que se llama ahora como 40 minutos, entonces Ehm, Sí, pero cerrando. Me gustaría Quisiera un poquito de música, que lo pasáramos bien, quisiéramos una fiesta que si se la saben pueden cantar. Transformemos esto en un...","acá el de música, mi show, porque pienso que la música nos transporta experiencias a momentos que hemos vivido, nos trae nostalgia. Por ejemplo, esta música, maestro, cuando quiera, póngale nomás. Y quiero ver cómo está...","No tienen un futbolista que cante. En el año 99, Alvarito, cuando tú estabas naciendo, en este escenario se presentó Marcelo Pablo Barticcioto, mi ídolo. Ni un futbolista usted ningún futbolista de ahora canta y los humo..."
2,2_chiste_programa_hoy hoy_chistes,"Televisión y medios: programa, hoy hoy, discapacidad","Cluster con 234 segmentos (1973-2025) centrado en programa, hoy hoy, discapacidad, juan gabriel, gabriel. Predomina en rutinas de Edo Caroe, Stefan Kramer.",Televisión y medios,234,1973,2025,"programa, hoy hoy, discapacidad, juan gabriel, gabriel, popó, amigo","Edo Caroe, Stefan Kramer, Pedro Ruminot","Oiga, una pifiadita para echar una confianza nueva, a ver. Ay, sí que sí. Ay, sí que sí. Oiga, fíjese que el Albert Hammond, aló, aló, el Albert Hammond, el andaba más genio el Albert Hammond el otro día, ¿se acuerda ust...","Bueno, este para tantear el público, probando. Perfecto. Mi mejor imitación: una imitación a un Aziz. Vamos a proseguir haciendo ahora una... este... Ya los tanteé, ya veo que están con ganas de divertirse. Vamos a ir sa...","El humor está en las micros también el otro día. Los humoristas son cortitos, son son sabrosos. Iban dos señoras gordas. No tengo una concha de los gordos yo, pero esas señoras que se dan a chancha, los fracasos al Cente..."
3,3_humor_quinta_quinta vergara_vergara,"Meta-humor de escenario: humor, quinta vergara, escenario","Cluster con 232 segmentos (1971-2025) centrado en humor, quinta vergara, escenario, reír, artista. Predomina en rutinas de Coco Legrand, Dinamita Show.",Meta-humor de escenario,232,1971,2025,"humor, quinta vergara, escenario, reír, artista, viña mar, gran","Coco Legrand, Dinamita Show, Melón y Melame","...con Piña Colada. Un nuevo humorista, su nombre: Carlos Cerón. Recuérdalo. Ha nacido en Viña del Mar con este humor popular, contingente, variado, que nos hace salir fácil una sonrisa. Vamos en este 34.º Festival Inter...","Lo difícil que es hacer reír. Esta noche lo logró Paulo Paulo Iglesias. Pero hay más. Hay más. ¡Fuerte, Paulo Iglesias!","Y llegamos a otro momento importante en esta noche. Un momento para sonreír, un momento para alegrarnos. Le vimos en el Festival de Arica y realmente presentó una rutina espectacular con nuevos chistes y con nuevos perso..."
4,4_chileno_chile_argentino_chilenos,"Política y actualidad: chileno, chile, argentino","Cluster con 278 segmentos (1974-2025) centrado en chileno, chile, argentino, chilenos, país. Predomina en rutinas de Pedro Ruminot, Palta Meléndez.",Política y actualidad,278,1974,2025,"chileno, chile, argentino, chilenos, país, argentina, temuco, inglés, chino, avión","Pedro Ruminot, Palta Meléndez, Bombo Fica","es chileno, no es chileno. Nunca tuvo castellano, artes plásticas, técnico manual. Nunca hizo el collar de fideos para la mamá. Nunca tuvo educación física, le dijo al profe, ""Profe, ¿qué hacemos?"" No sé, corran. Nunca....","El rodillo. Se junta con el amigo y venía el rodillo lleno de parches, hasta las pestañas están ahí enguesadas. Venía más golpeado que el pepe tape a salir del estadio. El amigo dice, ""Compañito, ¿qué te pasó?"" ""Ni no sa...","Y ahí está la familia chilena en Miami. De repente levantan la vista. Oh, amor, mira, amor, mira, mira, mira, mira, mira, mira. Gente tomando en la playa. Imagínense lo que es para un chileno ver gente tomando en la play..."
5,5_colegio_niños_papá_hijo,"Familia y crianza: colegio, niños, papá","Cluster con 292 segmentos (1974-2025) centrado en colegio, niños, papá, hijo, tac. Predomina en rutinas de Dino Gordillo, Javiera Contador.",Familia y crianza,292,1974,2025,"colegio, niños, papá, hijo, tac, niño, tac tac, padre, mamá, chico","Dino Gordillo, Javiera Contador, Alex Ortiz","de colegio, huevón. Y de repente cierra la carpeta, me la pasa y me dice ahí para que vayan viendo los aranceles, todas las huevadas. Y de repente yo abro la carpeta y digo, ""Conchetu ¿Sabe qué parece que hay un error aq...","Mira, esa fue la primera vez que yo me sentí mala madre, porque después han venido otras veces, pero esa fue la primera vez que yo me sentí mala madre. ¿Y sabéis qué? Otra vez que me sentí mala madre, es que cuando nos d...","Entonces Mira, y si tenemos problemas en la salud, ¿para qué decir en la educación? En los años 70 muchos de ustedes aprendieron a leer con un libro que se llamaba El ojo, cuando la educación era gratuita. Por eso que mu..."
6,6_quinta_vergara_público_quinta vergara,"Meta-humor de escenario: público, quinta vergara, gaviota","Cluster con 299 segmentos (1976-2025) centrado en público, quinta vergara, gaviota, muchas, oro. Predomina en rutinas de Dinamita Show, Bombo Fica.",Meta-humor de escenario,299,1976,2025,"público, quinta vergara, gaviota, muchas, oro, aplauso, antorcha, escenario","Dinamita Show, Bombo Fica, Stefan Kramer","Este público maravilloso de la Quinta Vergara quiere hacerte el regalo que tú te mereces por toda tu trayectoria en este festival, por ser el gran animador que eres y porque todo este público te ama, Anthony.","de oro. Señoras y señores. Muchas gracias. Ay. Gaviota de oro para Felipe Bello. También queremos cortarle esta gaviota. Es muy emocionante, que también es muy emocionante, que que hoy día te acompaña tu mamá, que es est...","Los quiero mucho. Irreverente, impredecible, travieso. Nunca sabemos lo que va a pasar con él en un escenario, pero siempre se sabe cuál va a ser el resultado. Ese aplauso con que ahora despide este público de Viña del M..."
7,7_vieja_suegra_abuela_abuelita,"Vida cotidiana y observación social: vieja, suegra, abuela","Cluster con 204 segmentos (1977-2025) centrado en vieja, suegra, abuela, abuelita, abuelo. Predomina en rutinas de Coco Legrand, Dino Gordillo.",Vida cotidiana y observación social,204,1977,2025,"vieja, suegra, abuela, abuelita, abuelo, oiga, olla, señora, viejo, casa","Coco Legrand, Dino Gordillo, Los Locos del Humor","...sacrificar al final. ¡Cómo gritaba la vieja! Bueno. El hecho es que esta abuela tenía, tenía una... No, no se moleste, junten para después. Bueno. Mi abuela tenía una vitrola, una vitrolita. Se le llamaba gramófono, g...","...tango en mi show. Y este, este... este tango lo aprendí, lo aprendí gracias a una abuela que yo tenía, linda abuela. De esas abuelas, sí, de esas abuelas de antes. No como vienen las abuelas de ahora, las abuelas mode...","Los viejos, los viejos están siendo abandonados y no está en la memoria de este país cuidarlo, no sé por qué. Tal vez porque el gran pecado fue haberles dejado un mundo desechable a los jóvenes. Por eso se quieren borrar..."
8,8_anthony_amas_your_you,"Vida cotidiana y observación social: anthony, amas, your","Cluster con 121 segmentos (1971-2025) centrado en anthony, amas, your, you, gonna. Predomina en rutinas de Gloria Benavides, Gilberto Gless.",Vida cotidiana y observación social,121,1971,2025,"anthony, amas, your, you, gonna, gonna do, playa playa, the, sororidad","Gloria Benavides, Gilberto Gless, Julio Sabala","Alone, why must I be alone? I spent so many hours with you. How can I be alone? I think, I think I dream alone. I think we were made for us to share and I dream alone. There's such a thing as forgiving, so why can't you...","Yo soy aquel que cada noche te persigue. Yo soy aquel que por quererte ya no vive. El que te espera, el que te sueña, el que quisiera ser dueño de tu amor, de tu amor. Yo soy aquel que por tenerte da la vida. Yo soy aque...","Tú eres mi hermano del alma, realmente el amigo. Que en todo camino y por nada estás siempre conmigo. Aunque eres un hombre aún tienes alma de niño. Aquel que me da su amistad, su respeto y cariño. Recuerdo que juntos Pa..."
9,9_auto_dijo dijo_micro_carabineros,"Transporte y calle: auto, dijo dijo, micro","Cluster con 231 segmentos (1973-2025) centrado en auto, dijo dijo, micro, carabineros, moto. Predomina en rutinas de Palta Meléndez, Juan Pablo López.",Transporte y calle,231,1973,2025,"auto, dijo dijo, micro, carabineros, moto, chancho, loco, chofer, metro, loro","Palta Meléndez, Juan Pablo López, Dino Gordillo","ningún problema. Porque a la llegada de San Bernardo El Lolo, oiga, se aspiraba más que ¿Qué le digo yo que ¿Qué qué podría hacer? Que pucha que se aspiraba, oiga, porque era una cosa impresionante así. Parecía testigo f...","Y la verdad que el otro día me reía, porque resulta que iba una señora, iba una señora manejando el auto así. Entonces, iba lo mejor manejando el auto cuando, de repente, un carabinero va; la señora le pone luz roja, se...","Yo estaba en una deuda con ustedes. Había empezado a contar el chiste de la moto y lo voy a terminar ahora. ¿Ah? Realmente se pasaron ahí, muchísimas gracias. El lolo llamado por teléfono porque ustedes saben cómo son lo..."
