segment_row_idx,topic_id_matrix,topic_id_assumed,p_topic,topic_id,show,year,decade,topic_final,topic_name_final,model_text,topic_name,topic_rank
12,8,8,1.0,8,Los Acetatos,1973,1970,8,8_anthony_amas_your_you,"Alone, why must I be alone? I spent so many hours with you. How can I be alone? I think, I think I dream alone. I think we were made for us to share and I dream alone. There's such a thing as forgiving, so why can't you forgive? There's such a thing as forgiving, can't you forgive? There's such a thing as forgiving, can't you forgive? Forgive and forget. Of course. Why not we be here apart? Let's pull on together and never be alone. There's such a thing as forgiving. So why can't you forgive? There's such a thing as forgetting. Can't you forgive and forget? Oh God. Why must we be apart? But we are together and never be apart. La la la la la, la la la la la.",8_anthony_amas_your_you,1
13,1,1,0.1897558866900503,1,Los Acetatos,1973,1970,1,1_canción_almas_cantar_vivo vivo,"Y cumpliendo numerosas peticiones, ahora le voy a cantar un bolero, ""Dos almas"". Dame todo, Nubo. Ajá. Dos almas que unidas yo... Dos almas que se amaban. Eso era. Por la sangre de este inmenso amor nos lavamos la vida. Como amamos de, de, de, de, de. Un día en el camino, que gustaban nuestras almas... Surgió una onda de odio que nos deja rodadón. Y decía que mejor fuera morir ni se cañare podemos ya vivir.",1_canción_almas_cantar_vivo vivo,1
14,1,1,0.3858419301203263,1,Los Acetatos,1973,1970,1,1_canción_almas_cantar_vivo vivo,"¿Qué? ¿Qué fue? ¿Qué pasó? ¿Qué? ¿Qué fue? ¿Qué pasó? Ah, ¿me toca a mí? Ya va, pues. Y un día en el camino que cruzaba nuestra alma, tuyo una canción yo, yo que no sé. Y decía que podemos ya, podemos ya.",1_canción_almas_cantar_vivo vivo,1
16,12,12,0.2817654501034597,12,Los Acetatos,1973,1970,12,12_perro_perrito_selva_lobo,"y como se escapa el agua entre los dedos. Así te dejé ir sin meditar. Éxito mundial, el fenómeno Rafael.",12_perro_perrito_selva_lobo,1
17,8,8,0.2573501091762482,8,Los Acetatos,1973,1970,8,8_anthony_amas_your_you,"No. No supliques tanto, por favor. Déjame tranquilo que es mejor, pues no quiero ni saber de tu amor. Sí, sigue hablando así por caridad. Dime que me quieres por piedad. Que me llegue yo a creer que es verdad. Eres tú todo el mundo para mí. Nadie te ha querido como yo. Siga hablando así y seré feliz y seré feliz. Sí, sí, sí. No. Sí, sí, sí. No.",8_anthony_amas_your_you,1
25,1,1,0.1530671267551478,1,Los Acetatos,1973,1970,1,1_canción_almas_cantar_vivo vivo,"Otra. ¿Sí? Pues ya lo ven, vuelven solos, ¿ah? Ustedes seguramente habrán escuchado ""Concierto para una sola voz"", pero nunca en la versión de esta voz única en el mundo. Para todos, ""Concierto para una sola voz"".",1_canción_almas_cantar_vivo vivo,1
26,12,12,1.0,12,Los Acetatos,1973,1970,12,12_perro_perrito_selva_lobo,"A tomar. A tomar, tomar, tomar, tomar, tomar. Se me puso el pantalón. Va. No corras. Va, va. Tres por cuatro. Dos y me llevo una, va.",12_perro_perrito_selva_lobo,1
27,10,10,0.2148372459759646,10,Los Acetatos,1973,1970,10,10_maestro_hora hora_ruperto_hora,"Ahora voy a llegar a la... porque hace, hace falta facultades de Ciencia, de Medicina, de garganta hipogresiva, como voy a hacer yo ahora, verás tú. Por gusto, escucha, me voy a salir del arreglo, no vale para esto, ya verás. Garganta arriba, garganta arriba. ¿Pecho ya? Es que estoy agachado o qué, ¿verdad? ¿Qué te crees, que estoy en la mini? ¿Pecho fuera? Es pobrecita. Por, por, por...",10_maestro_hora hora_ruperto_hora,1
29,3,3,0.4400836781948841,3,Los Acetatos,1973,1970,3,3_humor_quinta_quinta vergara_vergara,"Bueno, podríamos seguir riendo durante largo rato con Los Acetatos, la revelación artística tal como lo dijo César Antonio Santis en su presentación de este Décimo Cuarto Festival de la Canción de Viña del Mar. En otra oportunidad voy a tener mucho agrado en invitarles de nuevo a reír con estos grandes artistas chilenos. Hasta pronto, hasta otra oportunidad con aquellos que cantaron en Viña un día.",3_humor_quinta_quinta vergara_vergara,1
32,3,3,0.2950405387510038,3,Tato Cifuentes,1974,1970,3,3_humor_quinta_quinta vergara_vergara,"Hola, amigos de nuestro canal histórico, ¿cómo están? Les quiero contar que en esta oportunidad haremos un pequeño homenaje a un gran artista que empezó el escenario de La Quinta Vergara en 1974. Hablo de un gran humorista chileno que hace poquitos días, lamentablemente, nos dejó, falleció en el país trasandino hace sus 91 años. Hablo de Tato Cifuentes. Aquí les vamos a dejar una pequeña fracción de su presentación en 1974 en el Festival de la Canción de Viña del Mar. Aprovechamos como canal histórico, por supuesto, de enviar darle un saludo muy cariñoso a todos sus familiares, a todos sus seguidores y por supuesto que comenten este video aquí abajito, Datos y Fuentes 1974 en Viña del Mar. El niñito de 5 años y el papá mayor que el hijo van de camino, caminando, de paseo, mirando viñedos, etcétera y de repente pasa lo inesperado. Por la vereda del frente una señora casada bien casada por las apariencias. Y el mocoso nunca había visto una señora así tan casada y le llama poderosamente la atención. ¿A quién le va a preguntar si no es a su papito? Y ahí empieza el problema del padre y no le dice lo que corresponde. Papacito. Papacito. ¿Qué le pasa, el gordito? Papacito. Mire, la señora que va con mirando por ahí. ¿Qué tiene? Sí tiene. Digo, ¿qué tiene de particular? Una señora que va caminando. Sí, va caminando, pero pero pero Pero por ¿Por qué va caminando así tan hecha para atrás? Algún defecto que tiene la señora en los zapatos. No, no es los zapatos. El más arriba.",3_humor_quinta_quinta vergara_vergara,1
