segment_row_idx,n_topics_above_threshold,probability_mass_above_threshold,top1_topic_id,top1_topic_name,top1_p_topic,top2_topic_id,top2_topic_name,top2_p_topic,show,year,decade,topic_final,topic_name_final,text_preview,topic_prob_gap_top1_top2
105,3,0.5492776093678406,14,14_ho_ho ho_aplauso_muchas,0.3152244806626598,6.0,6_quinta_vergara_público_quinta vergara,0.132180691297662,Edmundo Arrocet,1978,1970,14,14_ho_ho ho_aplauso_muchas,Ese es el maravilloso aplauso de la Quinta Vergara para un jugador como es Gigote Arrozet. ¡Más grande el aplauso para que vuelva!,0.1830437893649978
1237,3,0.3696078658708782,27,27_soltera_bebé_arturo vidal_tinder,0.1391991518370249,15.0,15_hombres_mujeres_mujer_hombre,0.1239999396532956,Natalia Cuevas,2004,2000,15,15_hombres_mujeres_mujer_hombre,"En realidad es un tema que a mí me gusta tocar porque a mí me gusta ser bien directa. ¿No es cierto? ¿Y yo? Sí, ¿se escucha bien? Sí, ya. El texto para la mujer",0.015199212183729285
2517,3,0.3405734664759647,22,22_verdad_agradecer_emocionado_quiero agradecer,0.1281495075282724,14.0,14_ho_ho ho_aplauso_muchas,0.1123139839475388,León Murillo,2015,2010,6,6_quinta_vergara_público_quinta vergara,"de Muchas gracias, de verdad. Este es el reconocimiento que aplaude tu trabajo que por años has estado haciendo en bares, en teatros, que has estado compartiend",0.01583552358073359
1897,3,0.3381858317360783,22,22_verdad_agradecer_emocionado_quiero agradecer,0.1285119296902345,14.0,14_ho_ho ho_aplauso_muchas,0.1087842362318722,Dinamita Show,2012,2010,6,6_quinta_vergara_público_quinta vergara,"Gracias, Piña. ¿Cómo está mi querida y fiel galería? Los que llegan a las 6 de la tarde ahí. Ahí con aguante. ¿Cómo está mi querida y distinguida platea? ¿Cómo ",0.01972769345836231
2100,3,0.3709506118490481,14,14_ho_ho ho_aplauso_muchas,0.1645372934655743,22.0,22_verdad_agradecer_emocionado_quiero agradecer,0.1045195730844873,Los Atletas de la Risa,2013,2010,14,14_ho_ho ho_aplauso_muchas,"y todo, menos eso. Sí, señor. Muchas gracias, chiquillos. Muchas gracias. Gracias, muchachos. Gracias por tanto cariño. Gracias. Y con esa emoción despedimos a ",0.060017720381087006
3250,3,0.31998378920709303,27,27_soltera_bebé_arturo vidal_tinder,0.1115546742259873,23.0,23_amante_marido_mujer_matrimonio,0.1045167320881519,Jenny Cavallo,2018,2010,4,4_chileno_chile_argentino_chilenos,"como que no oye llover. Porque el hombre, en general, amigo, yo los amo, estas son observaciones, no más. Ustedes si no están de acuerdo con lo que lo que yo di",0.007037942137835401
3422,3,0.3382377800103563,6,6_quinta_vergara_público_quinta vergara,0.1334801938579087,22.0,22_verdad_agradecer_emocionado_quiero agradecer,0.1039911709968422,Felipe Avello,2019,2010,6,6_quinta_vergara_público_quinta vergara,"Pero, igual fueron 20 años de larga trayectoria. Igual mi papá está bien enfermo, así que les va a agradecer harto eso. No, muy contento, muy feliz. Y ahora me ",0.029489022861066513
2951,2,0.3267499083744604,23,23_amante_marido_mujer_matrimonio,0.164920366651915,15.0,15_hombres_mujeres_mujer_hombre,0.1618295417225454,"Daniela ""Chiqui"" Aguayo",2017,2010,15,15_hombres_mujeres_mujer_hombre,"Algo bastante más importante. Yo digo, ¿por qué los baños de mujeres no pueden pegar una advertencia en el espejo? Que diga, si usted se va usted va a beber, no",0.003090824929369601
3090,2,0.3455389011668708,6,6_quinta_vergara_público_quinta vergara,0.1841372841642729,14.0,14_ho_ho ho_aplauso_muchas,0.1614016170025979,Rodrigo Villegas,2017,2010,6,6_quinta_vergara_público_quinta vergara,"Gracias y muchas gracias, señoras y señores, porque eran Gracias por defenderme en la galería, de verdad. Gracias. Pero el público te sigue entregando cariño, R",0.02273566716167502
1268,2,0.384104463805035,14,14_ho_ho ho_aplauso_muchas,0.2231321262192057,22.0,22_verdad_agradecer_emocionado_quiero agradecer,0.1609723375858293,Los Indolatinos,2004,2000,14,14_ho_ho ho_aplauso_muchas,"una vez más. Muchas gracias. Ahora, dice. Dice: de un lado, otro lado, para adelante y para atrás, de cuneta a cuneta me voy. Borrachón soy. ¡Salud! Y el coro. ",0.0621597886333764
2848,2,0.4302723426778187,14,14_ho_ho ho_aplauso_muchas,0.2741670538942959,22.0,22_verdad_agradecer_emocionado_quiero agradecer,0.1561052887835228,Ricardo Meruane,2016,2010,14,14_ho_ho ho_aplauso_muchas,"Aquí, en tu presentación ha habido coraje, ha habido valentía; no significa no tener miedo, sino que seguiste actuando, fuiste un gladiador pese a la adversidad",0.1180617651107731
1508,2,0.4343698621551433,14,14_ho_ho ho_aplauso_muchas,0.2784854442340106,22.0,22_verdad_agradecer_emocionado_quiero agradecer,0.1558844179211327,Coco Legrand,2006,2000,14,14_ho_ho ho_aplauso_muchas,"Me voy con el cariño de ustedes que es lo que me ha estimulado siempre. Muchísimas gracias. Grande Coco, te queremos. Gracias. Bueno, algo más le vamos a decir.",0.12260102631287792
3252,2,0.3104637695255079,23,23_amante_marido_mujer_matrimonio,0.1559601704975108,15.0,15_hombres_mujeres_mujer_hombre,0.1545035990279971,Jenny Cavallo,2018,2010,15,15_hombres_mujeres_mujer_hombre,"Una dice eso siempre, porque en general no existe la mujer que diga como: «Está muy bien, mi amor, está muy bien lo que hiciste, porque si no hubieras hecho eso",0.0014565714695136955
287,2,0.40639095695874394,14,14_ho_ho ho_aplauso_muchas,0.2526053092197541,22.0,22_verdad_agradecer_emocionado_quiero agradecer,0.1537856477389898,Hermógenes Conache,1991,1990,14,14_ho_ho ho_aplauso_muchas,"Muy sé que tengo amigos. Voy a invitar a Sandro mejor. Amigos. Oh, oh, oh. Nunca pude controlar la izquierda, señores. Buenas noches, muchas gracias. Un placer.",0.09881966148076429
2302,2,0.3015781219051459,15,15_hombres_mujeres_mujer_hombre,0.1511519129090132,23.0,23_amante_marido_mujer_matrimonio,0.1504262089961327,Gigi Martin,2014,2010,15,15_hombres_mujeres_mujer_hombre,"y vienen hasta el día de hoy y se paran frente a mí esos gallos medios cocidos, pelucones, se paran frente a mí y dice: «¿Qué tal?». Y la larga en la huevada. Y",0.0007257039128804876
2866,2,0.3416336853844158,23,23_amante_marido_mujer_matrimonio,0.1967031762631294,15.0,15_hombres_mujeres_mujer_hombre,0.1449305091212864,Juan Pablo López,2017,2010,5,5_colegio_niños_papá_hijo,"sin ni uno, pero con reparación profunda el huevón, ¿eh? No, sin putas partidas. Porque la mujer puede ganar menos que el hombre, incluso por la misma pega. Per",0.051772667141842976
2446,2,0.3227896317156481,15,15_hombres_mujeres_mujer_hombre,0.181835935262709,23.0,23_amante_marido_mujer_matrimonio,0.1409536964529391,Centella,2015,2010,15,15_hombres_mujeres_mujer_hombre,"que yo hoy día quiero mostrar lo contrario. Y es cierto que las chiquillas van a acompañar. Ella me dice una Eh, yo voy a ir al baño. Uy, yo también. Espérame, ",0.040882238809769905
3317,2,0.29297197007189324,6,6_quinta_vergara_público_quinta vergara,0.1525377473362928,14.0,14_ho_ho ho_aplauso_muchas,0.1404342227356004,Stefan Kramer,2018,2010,6,6_quinta_vergara_público_quinta vergara,"Gracias. Hasta siempre. Gracias, Piña. Hasta siempre. La presentación de Stefan Kramer recogiendo todos los aplausos y todo el cariño del público de la Quinta V",0.012103524600692389
2505,2,0.2944468538171531,23,23_amante_marido_mujer_matrimonio,0.1542787950287151,15.0,15_hombres_mujeres_mujer_hombre,0.140168058788438,León Murillo,2015,2010,15,15_hombres_mujeres_mujer_hombre,las cosas. Porque yo creo que ese es el principal error que comete uno cuando te vas a vivir en pareja. Empezar a exigirle a tu pareja que se comporte como ni q,0.014110736240277116
3146,2,0.3190801565167421,6,6_quinta_vergara_público_quinta vergara,0.1795213792069405,14.0,14_ho_ho ho_aplauso_muchas,0.1395587773098016,Bombo Fica,2018,2010,6,6_quinta_vergara_público_quinta vergara,"Muchas gracias, muchas gracias a todos. Fuerte el aplauso para este tremendo actor chileno, el señor Willy Benítez. Vuelve este escenario después de 35 años de ",0.039962601897138905
419,2,0.3971394745357913,22,22_verdad_agradecer_emocionado_quiero agradecer,0.2579316739012949,21.0,21_buenas noches_noches_buenas_pecadora,0.1392078006344964,"Jorge ""Chino"" Navarrete",1994,1990,22,22_verdad_agradecer_emocionado_quiero agradecer,enojemos. Que estén para que las disfrutemos. Los quiero. Gracias por todo y los llevo dentro de mi corazón a mi país. Espero pronto volver con ustedes. Gracias,0.11872387326679851
581,2,0.300395384976343,14,14_ho_ho ho_aplauso_muchas,0.1624565578027562,22.0,22_verdad_agradecer_emocionado_quiero agradecer,0.1379388271735868,Dinamita Show,1996,1990,22,22_verdad_agradecer_emocionado_quiero agradecer,"Gracias por el silencio, amigo, le queremos decir algo. Nos dieron 30 minutos, dejen trabajar. No, muchas gracias por el apoyo, estamos muy contentos. Yo estoy ",0.0245177306291694
3365,2,0.27033231017283266,23,23_amante_marido_mujer_matrimonio,0.1351706070685487,7.0,7_vieja_suegra_abuela_abuelita,0.135161703104284,Alejandra Azcárate,2018,2010,15,15_hombres_mujeres_mujer_hombre,"¿Pero por qué el papá espera un hombre? Si uno lo analiza, podría ser por una identificación de género más que natural, por conservar un legado, una tradición d",8.903964264700415e-06
4251,2,0.3651758906730518,6,6_quinta_vergara_público_quinta vergara,0.2301945541104678,14.0,14_ho_ho ho_aplauso_muchas,0.134981336562584,Alex Ortiz,2024,2020,6,6_quinta_vergara_público_quinta vergara,"Gracias. Gracias por el apoyo. Gracias por la buena onda, por sus risas. Soy Alex Ortiz. Nos vemos por ahí. Tóquelo mucho. Muchas gracias, De San Francisco a la",0.09521321754788381
3188,2,0.29687023836400583,23,23_amante_marido_mujer_matrimonio,0.1626642010148418,15.0,15_hombres_mujeres_mujer_hombre,0.134206037349164,Bombo Fica,2018,2010,15,15_hombres_mujeres_mujer_hombre,"empieza a inventar cuestiones y no se acuerda y eso también lo vamos a analizar porque está todo incluido de hecho las 15 lucas, así que le vamos a pedir a los ",0.0284581636656778
2405,2,0.37231348439922207,14,14_ho_ho ho_aplauso_muchas,0.2385596341179473,6.0,6_quinta_vergara_público_quinta vergara,0.1337538502812748,Dinamita Show,2015,2010,14,14_ho_ho ho_aplauso_muchas,Y aquí está para recibir también el aplauso de toda la Quinta Vergara. Esa mujer maravillosa que se acaba de ir a cambiar ropa en esta despedida: el Indio Mauri,0.10480578383667252
