segment_row_idx,n_topics_above_threshold,probability_mass_above_threshold,top1_topic_id,top1_topic_name,top1_p_topic,top2_topic_id,top2_topic_name,top2_p_topic,show,year,decade,topic_final,topic_name_final,text_preview,topic_prob_gap_top1_top2
1926,3,0.41300862762835233,31,31_niño_cabro chico_cabro_chico,0.1698231813170353,23.0,23_tac_tac tac_hijos_papá,0.1383604280674322,Los Locos del Humor,2014,2010,4,4_abuela_vieja_abuelita_suegra,"No, pero ¿cómo tanto? Ogo, ¿te das cuenta? ¿Te das cuenta? Si los cabros chicos están todos cambiados, A ver qué están cambiados están los cabros chicos. Los ca",0.0314627532496031
114,3,0.3026089012110691,23,23_tac_tac tac_hijos_papá,0.1150212479485957,31.0,31_niño_cabro chico_cabro_chico,0.1049534072971948,Pujillay,1990,1990,2,2_chileno_chile_chilenos_argentino,"¿Se dieron cuenta la niñita la rubia esa que vino con las paquitas? Tiene a medio chile hace como una semana hablando con SH, chita se han dado cuenta, no puedo",0.0100678406514009
3360,3,0.4670846453477801,23,23_tac_tac tac_hijos_papá,0.2790099541931022,19.0,19_colegio_profe_profesor_profesora,0.1020421617353307,Javiera Contador,2020,2020,23,23_tac_tac tac_hijos_papá,"Pasamos, nos llamó la atención que no había ningún niño tan chico como los de nosotros, pero también que niño chico se come 85 minutos de espera, hora y media y",0.1769677924577715
242,3,0.47466551075899277,23,23_tac_tac tac_hijos_papá,0.2776055299751818,31.0,31_niño_cabro chico_cabro_chico,0.1004573495125745,Sandy,1993,1990,23,23_tac_tac tac_hijos_papá,"Padre, madre, hijo mexicano van caminando por avenida la Reforma en México y el niño al ver un automóvil y dice al padre: «Papá, ¿qué es eso?». «Pues qué sé yo»",0.17714818046260727
3361,3,0.3289181985727038,23,23_tac_tac tac_hijos_papá,0.1470136526190546,31.0,31_niño_cabro chico_cabro_chico,0.095198862754099,Javiera Contador,2020,2020,23,23_tac_tac tac_hijos_papá,"Oye, lo más traumático que les he hecho a mis hijos, no entiendo por qué hice eso. Yo creo que como pensé como, ""Ay, los famosos llevan a sus hijos a Disney."" A",0.05181478986495561
2782,3,0.2720638586418535,29,29_amiga_mira mira_amigas_tenés hacer,0.0990619460437429,5.0,5_mujeres_hombres_mujer_hombre,0.0926115088014379,"Carlos ""El Mono"" Sánchez",2017,2010,24,24_plata_bolsa_crédito_chino,"Pero no... todas esas operaciones están de moda. Las operaciones están de moda. Antes el sostén era una sola talla, ahora el sostén viene en copa A, B, C, D, E,",0.006450437242304999
1590,3,0.34418768883064943,23,23_tac_tac tac_hijos_papá,0.1651327625067659,31.0,31_niño_cabro chico_cabro_chico,0.092452707806441,Dino Gordillo,2011,2010,23,23_tac_tac tac_hijos_papá,"No No, es que es una cosa que yo a veces no comprendo, señoras y señores, las vacaciones, nosotros los papás nos sacamos la cresta todo el año preocupados de sa",0.07268005470032489
1377,3,0.27343897513979176,5,5_mujeres_hombres_mujer_hombre,0.0978654199572267,29.0,29_amiga_mira mira_amigas_tenés hacer,0.0906251790125503,Álvaro Salas,2007,2000,8,8_amante_mujer_marido_matrimonio,"«¿Y tu mujer grita cuando hace el amor?». «La vierais cómo grita, la escucho a dos cuadras».",0.0072402409446764016
3158,3,0.2654067208851833,5,5_mujeres_hombres_mujer_hombre,0.096046205209669,8.0,8_amante_mujer_marido_matrimonio,0.0886194399325331,Alejandra Azcárate,2018,2010,5,5_mujeres_hombres_mujer_hombre,"En el caso nuestro es diferente porque nosotras las mujeres después de los 30 años, cuando optamos por salir con hombres menores —que a todas empiezan a gustarn",0.007426765277135899
1182,3,0.2546593713008597,29,29_amiga_mira mira_amigas_tenés hacer,0.0870972369270576,8.0,8_amante_mujer_marido_matrimonio,0.0859130667394332,Paulo Iglesias,2005,2000,8,8_amante_mujer_marido_matrimonio,"El otro día le dije: «Oye, compadre, te hago una consulta, dime, ¿tu señora grita cuando hace el amor?». «Sí, porque la escucho hasta de la pega».",0.0011841701876244004
1376,3,0.2661060232126433,5,5_mujeres_hombres_mujer_hombre,0.0976872374840573,29.0,29_amiga_mira mira_amigas_tenés hacer,0.0857485679000344,Álvaro Salas,2007,2000,8,8_amante_mujer_marido_matrimonio,"Compare con la confianza que tenemos los dos, te puedo hacer esta pregunta, ¿tu mujer se queja cuando hace el amor? Puta, la vi como se queja. ¿Y qué dice, por ",0.011938669584022898
718,3,0.24580536695737448,29,29_amiga_mira mira_amigas_tenés hacer,0.0829534111951318,5.0,5_mujeres_hombres_mujer_hombre,0.0826798075475278,Sandy,1999,1990,8,8_amante_mujer_marido_matrimonio,"Le preguntaron al gallego: «Oye, ¿tu mujer grita cuando hace el amor?». «Que si grita, la escucho desde el almacén».",0.00027360364760400935
